timestamp_ns,type,seq,exposure_us,iso,path
7145970970000,rgb,3091,1000,400,rgb/rgb_7145970970000_3091.png
7146004292000,rgb,3092,1000,400,rgb/rgb_7146004292000_3092.png
7146037614000,rgb,3093,1000,400,rgb/rgb_7146037614000_3093.png
7146070936000,rgb,3094,1000,400,rgb/rgb_7146070936000_3094.png
7146104258000,rgb,3095,1000,400,rgb/rgb_7146104258000_3095.png
7146137579000,rgb,3096,1000,400,rgb/rgb_7146137579000_3096.png
7146170901000,rgb,3097,1000,400,rgb/rgb_7146170901000_3097.png
7146204223000,rgb,3098,1000,400,rgb/rgb_7146204223000_3098.png
7146237580000,rgb,3099,1000,400,rgb/rgb_7146237580000_3099.png
7146270902000,rgb,3100,1000,400,rgb/rgb_7146270902000_3100.png
7146304224000,rgb,3101,1000,400,rgb/rgb_7146304224000_3101.png
7146337546000,rgb,3102,1000,400,rgb/rgb_7146337546000_3102.png
7146370867000,rgb,3103,1000,400,rgb/rgb_7146370867000_3103.png
7146404189000,rgb,3104,1000,400,rgb/rgb_7146404189000_3104.png
7146437511000,rgb,3105,1000,400,rgb/rgb_7146437511000_3105.png
7146470833000,rgb,3106,1000,400,rgb/rgb_7146470833000_3106.png
7146504155000,rgb,3107,1000,400,rgb/rgb_7146504155000_3107.png
7146537477000,rgb,3108,1000,400,rgb/rgb_7146537477000_3108.png
7146570799000,rgb,3109,1000,400,rgb/rgb_7146570799000_3109.png
7146604121000,rgb,3110,1000,400,rgb/rgb_7146604121000_3110.png
7146637442000,rgb,3111,1000,400,rgb/rgb_7146637442000_3111.png
7146670764000,rgb,3112,1000,400,rgb/rgb_7146670764000_3112.png
7146704086000,rgb,3113,1000,400,rgb/rgb_7146704086000_3113.png
7146737408000,rgb,3114,1000,400,rgb/rgb_7146737408000_3114.png
7146770730000,rgb,3115,1000,400,rgb/rgb_7146770730000_3115.png
7146804052000,rgb,3116,1000,400,rgb/rgb_7146804052000_3116.png
7146837374000,rgb,3117,1000,400,rgb/rgb_7146837374000_3117.png
7146870695000,rgb,3118,1000,400,rgb/rgb_7146870695000_3118.png
7146904018000,rgb,3119,1000,400,rgb/rgb_7146904018000_3119.png
7146937339000,rgb,3120,1000,400,rgb/rgb_7146937339000_3120.png
7146970661000,rgb,3121,1000,400,rgb/rgb_7146970661000_3121.png
7147003983000,rgb,3122,1000,400,rgb/rgb_7147003983000_3122.png
7147037305000,rgb,3123,1000,400,rgb/rgb_7147037305000_3123.png
7147070627000,rgb,3124,1000,400,rgb/rgb_7147070627000_3124.png
7147103949000,rgb,3125,1000,400,rgb/rgb_7147103949000_3125.png
7147137271000,rgb,3126,1000,400,rgb/rgb_7147137271000_3126.png
7147170593000,rgb,3127,1000,400,rgb/rgb_7147170593000_3127.png
7147203915000,rgb,3128,1000,400,rgb/rgb_7147203915000_3128.png
7147237237000,rgb,3129,1000,400,rgb/rgb_7147237237000_3129.png
7147270559000,rgb,3130,1000,400,rgb/rgb_7147270559000_3130.png
7147303880000,rgb,3131,1000,400,rgb/rgb_7147303880000_3131.png
7147337202000,rgb,3132,1000,400,rgb/rgb_7147337202000_3132.png
7147370524000,rgb,3133,1000,400,rgb/rgb_7147370524000_3133.png
7147403846000,rgb,3134,1000,400,rgb/rgb_7147403846000_3134.png
7147437168000,rgb,3135,1000,400,rgb/rgb_7147437168000_3135.png
7147470489000,rgb,3136,1000,400,rgb/rgb_7147470489000_3136.png
7147503811000,rgb,3137,1000,400,rgb/rgb_7147503811000_3137.png
7147537133000,rgb,3138,1000,400,rgb/rgb_7147537133000_3138.png
7147570456000,rgb,3139,1000,400,rgb/rgb_7147570456000_3139.png
7147603777000,rgb,3140,1000,400,rgb/rgb_7147603777000_3140.png
7147637099000,rgb,3141,1000,400,rgb/rgb_7147637099000_3141.png
7147670421000,rgb,3142,1000,400,rgb/rgb_7147670421000_3142.png
7147703743000,rgb,3143,1000,400,rgb/rgb_7147703743000_3143.png
7147737065000,rgb,3144,1000,400,rgb/rgb_7147737065000_3144.png
7147770387000,rgb,3145,1000,400,rgb/rgb_7147770387000_3145.png
7147803708000,rgb,3146,1000,400,rgb/rgb_7147803708000_3146.png
7147837030000,rgb,3147,1000,400,rgb/rgb_7147837030000_3147.png
7147870352000,rgb,3148,1000,400,rgb/rgb_7147870352000_3148.png
7147903674000,rgb,3149,1000,400,rgb/rgb_7147903674000_3149.png
7147936996000,rgb,3150,1000,400,rgb/rgb_7147936996000_3150.png
7147970318000,rgb,3151,1000,400,rgb/rgb_7147970318000_3151.png
7148003640000,rgb,3152,1000,400,rgb/rgb_7148003640000_3152.png
7148036962000,rgb,3153,1000,400,rgb/rgb_7148036962000_3153.png
7148070283000,rgb,3154,1000,400,rgb/rgb_7148070283000_3154.png
7148103605000,rgb,3155,1000,400,rgb/rgb_7148103605000_3155.png
7148136927000,rgb,3156,1000,400,rgb/rgb_7148136927000_3156.png
7148170249000,rgb,3157,1000,400,rgb/rgb_7148170249000_3157.png
7148203571000,rgb,3158,1000,400,rgb/rgb_7148203571000_3158.png
7148236893000,rgb,3159,1000,400,rgb/rgb_7148236893000_3159.png
7148270215000,rgb,3160,1000,400,rgb/rgb_7148270215000_3160.png
7148303537000,rgb,3161,1000,400,rgb/rgb_7148303537000_3161.png
7148336859000,rgb,3162,1000,400,rgb/rgb_7148336859000_3162.png
7148370181000,rgb,3163,1000,400,rgb/rgb_7148370181000_3163.png
7148403502000,rgb,3164,1000,400,rgb/rgb_7148403502000_3164.png
7148436824000,rgb,3165,1000,400,rgb/rgb_7148436824000_3165.png
7148470146000,rgb,3166,1000,400,rgb/rgb_7148470146000_3166.png
7148503468000,rgb,3167,1000,400,rgb/rgb_7148503468000_3167.png
7148536790000,rgb,3168,1000,400,rgb/rgb_7148536790000_3168.png
7148570112000,rgb,3169,1000,400,rgb/rgb_7148570112000_3169.png
7148603434000,rgb,3170,1000,400,rgb/rgb_7148603434000_3170.png
7148636756000,rgb,3171,1000,400,rgb/rgb_7148636756000_3171.png
7148670078000,rgb,3172,1000,400,rgb/rgb_7148670078000_3172.png
7148703399000,rgb,3173,1000,400,rgb/rgb_7148703399000_3173.png
7148736721000,rgb,3174,1000,400,rgb/rgb_7148736721000_3174.png
7148770043000,rgb,3175,1000,400,rgb/rgb_7148770043000_3175.png
7148803365000,rgb,3176,1000,400,rgb/rgb_7148803365000_3176.png
7148836687000,rgb,3177,1000,400,rgb/rgb_7148836687000_3177.png
7148870009000,rgb,3178,1000,400,rgb/rgb_7148870009000_3178.png
7148903331000,rgb,3179,1000,400,rgb/rgb_7148903331000_3179.png
7148936652000,rgb,3180,1000,400,rgb/rgb_7148936652000_3180.png
7148969975000,rgb,3181,1000,400,rgb/rgb_7148969975000_3181.png
7149003297000,rgb,3182,1000,400,rgb/rgb_7149003297000_3182.png
7149036619000,rgb,3183,1000,400,rgb/rgb_7149036619000_3183.png
7149069940000,rgb,3184,1000,400,rgb/rgb_7149069940000_3184.png
7149103262000,rgb,3185,1000,400,rgb/rgb_7149103262000_3185.png
7149136584000,rgb,3186,1000,400,rgb/rgb_7149136584000_3186.png
7149169906000,rgb,3187,1000,400,rgb/rgb_7149169906000_3187.png
7149203228000,rgb,3188,1000,400,rgb/rgb_7149203228000_3188.png
7149236550000,rgb,3189,1000,400,rgb/rgb_7149236550000_3189.png
7149269871000,rgb,3190,1000,400,rgb/rgb_7149269871000_3190.png
7149303194000,rgb,3191,1000,400,rgb/rgb_7149303194000_3191.png
7149336515000,rgb,3192,1000,400,rgb/rgb_7149336515000_3192.png
7149369837000,rgb,3193,1000,400,rgb/rgb_7149369837000_3193.png
7149403159000,rgb,3194,1000,400,rgb/rgb_7149403159000_3194.png
7149436481000,rgb,3195,1000,400,rgb/rgb_7149436481000_3195.png
7149469803000,rgb,3196,1000,400,rgb/rgb_7149469803000_3196.png
7149503125000,rgb,3197,1000,400,rgb/rgb_7149503125000_3197.png
7149536446000,rgb,3198,1000,400,rgb/rgb_7149536446000_3198.png
7149569769000,rgb,3199,1000,400,rgb/rgb_7149569769000_3199.png
7149603090000,rgb,3200,1000,400,rgb/rgb_7149603090000_3200.png
7149636412000,rgb,3201,1000,400,rgb/rgb_7149636412000_3201.png
7149669734000,rgb,3202,1000,400,rgb/rgb_7149669734000_3202.png
7149703056000,rgb,3203,1000,400,rgb/rgb_7149703056000_3203.png
7149736378000,rgb,3204,1000,400,rgb/rgb_7149736378000_3204.png
7149769700000,rgb,3205,1000,400,rgb/rgb_7149769700000_3205.png
7149803021000,rgb,3206,1000,400,rgb/rgb_7149803021000_3206.png
7149836343000,rgb,3207,1000,400,rgb/rgb_7149836343000_3207.png
7149869665000,rgb,3208,1000,400,rgb/rgb_7149869665000_3208.png
7149902988000,rgb,3209,1000,400,rgb/rgb_7149902988000_3209.png
7149936310000,rgb,3210,1000,400,rgb/rgb_7149936310000_3210.png
7149969631000,rgb,3211,1000,400,rgb/rgb_7149969631000_3211.png
7150002953000,rgb,3212,1000,400,rgb/rgb_7150002953000_3212.png
7150036275000,rgb,3213,1000,400,rgb/rgb_7150036275000_3213.png
7150069597000,rgb,3214,1000,400,rgb/rgb_7150069597000_3214.png
7150102919000,rgb,3215,1000,400,rgb/rgb_7150102919000_3215.png
7150136240000,rgb,3216,1000,400,rgb/rgb_7150136240000_3216.png
7150169562000,rgb,3217,1000,400,rgb/rgb_7150169562000_3217.png
7150202884000,rgb,3218,1000,400,rgb/rgb_7150202884000_3218.png
7150236206000,rgb,3219,1000,400,rgb/rgb_7150236206000_3219.png
7150269528000,rgb,3220,1000,400,rgb/rgb_7150269528000_3220.png
7150302850000,rgb,3221,1000,400,rgb/rgb_7150302850000_3221.png
7150336172000,rgb,3222,1000,400,rgb/rgb_7150336172000_3222.png
7150369494000,rgb,3223,1000,400,rgb/rgb_7150369494000_3223.png
7150402816000,rgb,3224,1000,400,rgb/rgb_7150402816000_3224.png
7150436137000,rgb,3225,1000,400,rgb/rgb_7150436137000_3225.png
7150469459000,rgb,3226,1000,400,rgb/rgb_7150469459000_3226.png
7150502781000,rgb,3227,1000,400,rgb/rgb_7150502781000_3227.png
7150536103000,rgb,3228,1000,400,rgb/rgb_7150536103000_3228.png
7150569425000,rgb,3229,1000,400,rgb/rgb_7150569425000_3229.png
7150602747000,rgb,3230,1000,400,rgb/rgb_7150602747000_3230.png
7150636069000,rgb,3231,1000,400,rgb/rgb_7150636069000_3231.png
7150669391000,rgb,3232,1000,400,rgb/rgb_7150669391000_3232.png
7150702713000,rgb,3233,1000,400,rgb/rgb_7150702713000_3233.png
7150736034000,rgb,3234,1000,400,rgb/rgb_7150736034000_3234.png
7150769356000,rgb,3235,1000,400,rgb/rgb_7150769356000_3235.png
7150802678000,rgb,3236,1000,400,rgb/rgb_7150802678000_3236.png
7150836000000,rgb,3237,1000,400,rgb/rgb_7150836000000_3237.png
7235907226000,rgb,5790,1000,400,rgb/rgb_7235907226000_5790.png
7235940548000,rgb,5791,1000,400,rgb/rgb_7235940548000_5791.png
7235973870000,rgb,5792,1000,400,rgb/rgb_7235973870000_5792.png
7236007191000,rgb,5793,1000,400,rgb/rgb_7236007191000_5793.png
7236040513000,rgb,5794,1000,400,rgb/rgb_7236040513000_5794.png
7236073835000,rgb,5795,1000,400,rgb/rgb_7236073835000_5795.png
7236107157000,rgb,5796,1000,400,rgb/rgb_7236107157000_5796.png
7236140479000,rgb,5797,1000,400,rgb/rgb_7236140479000_5797.png
7236173801000,rgb,5798,1000,400,rgb/rgb_7236173801000_5798.png
7236207123000,rgb,5799,1000,400,rgb/rgb_7236207123000_5799.png
7236240445000,rgb,5800,1000,400,rgb/rgb_7236240445000_5800.png
7236273766000,rgb,5801,1000,400,rgb/rgb_7236273766000_5801.png
7236307088000,rgb,5802,1000,400,rgb/rgb_7236307088000_5802.png
7236340410000,rgb,5803,1000,400,rgb/rgb_7236340410000_5803.png
7236373732000,rgb,5804,1000,400,rgb/rgb_7236373732000_5804.png
7236407054000,rgb,5805,1000,400,rgb/rgb_7236407054000_5805.png
7236440376000,rgb,5806,1000,400,rgb/rgb_7236440376000_5806.png
7236473698000,rgb,5807,1000,400,rgb/rgb_7236473698000_5807.png
7236507020000,rgb,5808,1000,400,rgb/rgb_7236507020000_5808.png
7236540342000,rgb,5809,1000,400,rgb/rgb_7236540342000_5809.png
7236573663000,rgb,5810,1000,400,rgb/rgb_7236573663000_5810.png
7236606985000,rgb,5811,1000,400,rgb/rgb_7236606985000_5811.png
7236640307000,rgb,5812,1000,400,rgb/rgb_7236640307000_5812.png
7236673629000,rgb,5813,1000,400,rgb/rgb_7236673629000_5813.png
7236706951000,rgb,5814,1000,400,rgb/rgb_7236706951000_5814.png
7236740273000,rgb,5815,1000,400,rgb/rgb_7236740273000_5815.png
7236773595000,rgb,5816,1000,400,rgb/rgb_7236773595000_5816.png
