timestamp_ns,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s,linacc_x_m_s2,linacc_y_m_s2,linacc_z_m_s2
2448855225000,4.501953125,-0.015625,-1.328125,9.8359375,1.74609375,7.55078125
2448867127000,5.572265625,1.095703125,-2.4921875,10.8359375,1.9140625,7.01953125
2448870128000,6.087890625,1.724609375,-3.150390625,10.859375,2.0703125,7.13671875
2448872600000,6.34765625,2.05078125,-3.486328125,10.9921875,2.1953125,6.0234375
2448875178000,6.583984375,2.39453125,-3.828125,10.90625,2.2578125,4.51953125
2448878137000,6.80078125,2.74609375,-4.146484375,10.9140625,2.390625,4.62109375
2448882727000,7.154296875,3.486328125,-4.76953125,10.625,2.82421875,2.93359375
2448885363000,7.22265625,3.859375,-5.048828125,9.96484375,3.48046875,0.91796875
2448887638000,7.19140625,4.220703125,-5.302734375,8.78515625,4.3515625,-0.9140625
2448890303000,7.041015625,4.552734375,-5.52734375,7.5234375,5.25390625,-2.328125
2448892822000,6.74609375,4.84375,-5.654296875,7.5,5.41796875,-2.203125
2448895134000,6.30078125,5.076171875,-5.71875,7.00390625,6.03125,-3.609375
2448898031000,5.775390625,5.341796875,-5.705078125,6.98046875,6.2265625,-3.4609375
2448900184000,5.126953125,5.642578125,-5.66015625,6.40234375,5.8359375,-7.7734375
2448904975000,3.658203125,6.234375,-5.37109375,6.33203125,6.1484375,-7.5
2448907506000,2.896484375,6.466796875,-5.173828125,4.87109375,5.73046875,-10.05078125
2448910045000,2.068359375,6.64453125,-4.951171875,2.890625,5.234375,-12.48828125
2448912535000,1.25390625,6.779296875,-4.69921875,2.84375,5.34375,-12.35546875
2448915080000,0.4296875,6.845703125,-4.4375,0.89453125,4.84765625,-14.51953125
2448917809000,-0.435546875,6.783203125,-4.15625,-1.16796875,4.37109375,-15.8984375
2448920084000,-1.291015625,6.65234375,-3.8671875,-2.7734375,3.96484375,-16.9140625
2448924991000,-3.060546875,6.197265625,-3.208984375,-3.81640625,3.8046875,-17.73828125
2448932608000,-5.380859375,5.26171875,-2.091796875,-4.76171875,2.95703125,-20.3203125
2448941629000,-6.90625,3.94140625,-1.078125,-5.8046875,1.96484375,-20.16015625
2448945028000,-7.458984375,2.89453125,-0.6484375,-6.2734375,1.46875,-19.25
2448947461000,-7.603515625,2.37109375,-0.474609375,-6.57421875,1.16796875,-18.2421875
2448952574000,-7.677734375,1.259765625,-0.2578125,-6.61328125,1.00390625,-18.140625
2448955384000,-7.626953125,0.6953125,-0.15625,-6.87890625,1.10546875,-16.63671875
2448957474000,-7.568359375,0.146484375,-0.052734375,-6.953125,1.23046875,-14.62890625
2448960020000,-7.48828125,-0.392578125,0.02734375,-6.65625,1.0,-12.5546875
2448962433000,-7.375,-0.892578125,0.123046875,-6.28515625,0.1875,-10.80859375
2448967378000,-7.115234375,-1.81640625,0.296875,-6.16015625,-0.7578125,-9.1328125
2448976183000,-6.556640625,-2.98828125,0.5390625,-6.20703125,-3.12890625,-5.9453125
2448984033000,-5.740234375,-3.826171875,0.673828125,-6.17578125,-5.15234375,-2.91796875
2448987512000,-5.05859375,-4.193359375,0.73046875,-5.859375,-5.90234375,-1.79296875
2448990072000,-4.689453125,-4.318359375,0.75,-5.53515625,-6.3671875,-0.52734375
2448992332000,-4.30078125,-4.4453125,0.7734375,-5.49609375,-6.4296875,-0.62890625
2448994900000,-3.931640625,-4.55078125,0.814453125,-5.08203125,-6.80859375,0.6875
2448997214000,-3.5703125,-4.654296875,0.861328125,-4.640625,-7.15234375,2.04296875
2448999912000,-3.212890625,-4.728515625,0.8984375,-4.6015625,-7.19921875,1.93359375
2449002447000,-2.873046875,-4.826171875,0.9453125,-4.2421875,-7.47265625,3.3203125
2449007332000,-2.236328125,-4.939453125,1.0078125,-4.1640625,-7.56640625,3.09375
2449010153000,-1.931640625,-4.986328125,1.0390625,-3.828125,-7.73046875,4.296875
2449012400000,-1.630859375,-5.02734375,1.052734375,-3.59765625,-7.8203125,5.34765625
2449015055000,-1.328125,-5.056640625,1.07421875,-3.18359375,-7.84765625,6.0078125
2449017319000,-1.0234375,-5.06640625,1.099609375,-3.15234375,-7.87890625,5.8984375
2449019810000,-0.748046875,-5.06640625,1.125,-2.6328125,-7.95703125,6.57421875
2449022589000,-0.45703125,-5.056640625,1.158203125,-2.125,-7.9609375,7.12890625
2449029760000,0.3046875,-4.970703125,1.240234375,-0.984375,-7.953125,7.953125
2449034873000,0.751953125,-4.88671875,1.275390625,-0.46875,-7.98828125,8.3359375
2449045058000,1.4453125,-4.7109375,1.3203125,0.76171875,-7.70703125,9.203125
2449049747000,1.673828125,-4.48046875,1.373046875,1.94140625,-7.1875,9.9453125
2449052098000,1.7890625,-4.296875,1.39453125,3.1484375,-6.7109375,10.484375
2449054873000,1.87109375,-4.046875,1.40234375,4.46875,-6.390625,10.86328125
2449057357000,1.958984375,-3.771484375,1.419921875,4.4765625,-6.421875,10.78515625
2449059734000,2.05078125,-3.42578125,1.421875,5.87109375,-6.07421875,11.0
2449062172000,2.142578125,-3.041015625,1.416015625,7.0859375,-5.5390625,11.171875
2449064784000,2.23828125,-2.611328125,1.400390625,8.00390625,-4.73828125,11.171875
2449069725000,2.47265625,-1.69921875,1.298828125,8.484375,-4.12109375,10.9609375
2449077231000,2.927734375,-0.45703125,0.943359375,8.4375,-3.03515625,9.91015625
2449084790000,3.484375,0.435546875,0.287109375,7.97265625,-2.140625,8.40625
2449087253000,3.705078125,0.640625,0.02734375,7.7890625,-1.60546875,7.25
2449089698000,3.935546875,0.828125,-0.267578125,7.7890625,-1.58984375,7.2890625
2449092079000,4.203125,0.958984375,-0.568359375,7.51953125,-0.9609375,5.89453125
2449097312000,4.806640625,1.0859375,-1.20703125,7.51953125,-0.8984375,5.98046875
2449099979000,5.12109375,1.083984375,-1.5390625,7.0234375,0.11328125,2.875
2449104499000,5.7890625,0.931640625,-2.2265625,7.03125,0.23046875,2.953125
2449107227000,6.16015625,0.787109375,-2.591796875,6.76171875,0.69140625,1.35546875
2449109471000,6.505859375,0.595703125,-2.923828125,6.4140625,1.15625,0.15625
2449112062000,6.83984375,0.369140625,-3.294921875,6.421875,1.2578125,0.1875
2449114635000,7.166015625,0.146484375,-3.6484375,6.2578125,1.625,-0.6015625
2449117092000,7.443359375,-0.060546875,-3.998046875,6.55078125,1.87890625,-1.07421875
2449120018000,7.69921875,-0.224609375,-4.349609375,7.0390625,2.01953125,-1.4140625
2449127201000,8.10546875,-0.328125,-5.3125,7.5390625,2.109375,-2.21875
2449132087000,8.0390625,-0.095703125,-5.78125,7.6796875,2.28515625,-2.81640625
2449143877000,7.037109375,0.84375,-6.244140625,6.87890625,3.76171875,-5.15625
2449147129000,6.2109375,1.408203125,-6.263671875,6.84765625,4.10546875,-5.125
2449149464000,5.712890625,1.701171875,-6.26171875,6.0,4.01171875,-7.66015625
2449152002000,5.21875,1.984375,-6.240234375,5.9609375,4.18359375,-7.64453125
2449154462000,4.73828125,2.228515625,-6.220703125,5.9375,4.35546875,-7.60546875
2449156937000,4.25,2.431640625,-6.17578125,5.2265625,4.0234375,-9.171875
2449159539000,3.80859375,2.62109375,-6.1640625,4.24609375,3.49609375,-10.984375
2449162014000,3.390625,2.76953125,-6.130859375,3.1640625,2.79296875,-12.9765625
2449164431000,3.0390625,2.875,-6.09765625,3.1171875,2.95703125,-12.9296875
2449166975000,2.693359375,2.9609375,-6.05078125,1.9296875,2.0546875,-14.97265625
2449169390000,2.35546875,3.017578125,-5.984375,1.8828125,2.1953125,-14.91796875
2449171948000,2.01953125,3.01171875,-5.89453125,0.7734375,1.2109375,-16.4609375
2449174629000,1.638671875,2.95703125,-5.787109375,0.7265625,1.359375,-16.40625
2449176973000,1.244140625,2.828125,-5.646484375,-0.6484375,0.15625,-17.1953125
2449179487000,0.8203125,2.67578125,-5.462890625,-2.0546875,-0.8046875,-17.28515625
2449181749000,0.359375,2.46484375,-5.2421875,-3.046875,-1.80859375,-17.23046875
2449189399000,-0.853515625,1.734375,-4.32421875,-4.25,-3.44921875,-17.15625
2449194710000,-1.35546875,1.19140625,-3.548828125,-4.3671875,-4.0390625,-16.95703125
2449202057000,-1.54296875,0.439453125,-2.439453125,-4.421875,-4.15234375,-15.60546875
2449204473000,-1.5078125,0.185546875,-2.13671875,-4.703125,-3.69140625,-14.18359375
2449209243000,-1.39453125,-0.3125,-1.6796875,-4.734375,-3.63671875,-14.16015625
2449211995000,-1.341796875,-0.544921875,-1.55078125,-5.21875,-3.01953125,-12.4765625
2449214520000,-1.30078125,-0.78125,-1.458984375,-5.58203125,-2.421875,-10.4296875
2449216769000,-1.287109375,-0.994140625,-1.41015625,-5.58984375,-2.3984375,-10.4375
2449219380000,-1.28125,-1.18359375,-1.4140625,-5.921875,-2.00390625,-8.453125
2449221950000,-1.26953125,-1.373046875,-1.435546875,-6.20703125,-1.7890625,-6.70703125
2449224515000,-1.2265625,-1.5234375,-1.482421875,-6.4453125,-1.7578125,-5.20703125
2449229517000,-1.056640625,-1.845703125,-1.55078125,-6.453125,-1.71875,-5.25390625
2449232256000,-0.927734375,-1.9921875,-1.587890625,-6.47265625,-1.90625,-3.8984375
2449234127000,-0.794921875,-2.12890625,-1.60546875,-6.35546875,-2.19921875,-2.64453125
2449236729000,-0.611328125,-2.279296875,-1.60546875,-6.35546875,-2.17578125,-2.68359375
2449239353000,-0.44140625,-2.421875,-1.60546875,-5.73046875,-2.98046875,-0.30859375
2449241702000,-0.298828125,-2.576171875,-1.58984375,-5.73046875,-2.94921875,-0.35546875
2449244277000,-0.162109375,-2.712890625,-1.56640625,-5.73046875,-2.91796875,-0.41015625
2449246960000,-0.04296875,-2.822265625,-1.544921875,-5.46484375,-3.21875,0.80859375
2449249266000,0.052734375,-2.935546875,-1.5234375,-5.4453125,-3.46875,1.890625
2449251833000,0.130859375,-3.0234375,-1.5,-5.453125,-3.4375,1.828125
2449254130000,0.19921875,-3.103515625,-1.484375,-5.546875,-3.73046875,2.87890625
2449256765000,0.255859375,-3.16796875,-1.46875,-5.546875,-3.69140625,2.80859375
2449259423000,0.31640625,-3.22265625,-1.44140625,-5.76953125,-4.60546875,4.546875
2449264271000,0.390625,-3.345703125,-1.37109375,-5.75,-5.13671875,5.23828125
2449271794000,0.4765625,-3.544921875,-1.123046875,-5.375,-6.01953125,6.62109375
2449280466000,0.57421875,-3.662109375,-0.69921875,-4.2265625,-6.59765625,7.81640625
2449284241000,0.65625,-3.669921875,-0.333984375,-4.2109375,-6.58203125,7.65234375
2449286754000,0.671875,-3.666015625,-0.142578125,-3.55078125,-6.796875,8.29296875
2449289116000,0.69921875,-3.658203125,0.06640625,-2.98828125,-7.046875,8.91796875
2449291661000,0.7265625,-3.640625,0.255859375,-2.98046875,-7.046875,8.83984375
2449294066000,0.72265625,-3.625,0.484375,-2.37109375,-7.28515625,9.421875
2449296770000,0.740234375,-3.58203125,0.677734375,-1.73046875,-7.5,9.98046875
2449299461000,0.73828125,-3.544921875,0.90625,-1.0625,-7.6796875,10.32421875
2449304006000,0.71484375,-3.474609375,1.115234375,-0.28125,-7.63671875,10.54296875
2449306654000,0.69921875,-3.298828125,1.56640625,-0.2421875,-7.69140625,10.38671875
